id,title,keywords,ratings,confidences,withdraw,review_lengths,decision
NOKUQ9JMohJ,ONLINE RESTLESS BANDITS WITH UNOBSERVED STATES,"['Thompson Sampling', 'Explore-Then-Commit', 'online restless bandit']","[8, 3, 5, 8, 3]","[2, 5, 2, 2, 3]",0,"[419, 746, 201, 170, 346]",Reject
IQM-3_Tzldw,Learning to aggregate: A parameterized aggregator to debias aggregation for cross-device federated learning,['Federated learning'],"[6, 6, 5, 6]","[4, 3, 3, 4]",0,"[903, 429, 636, 531]",Reject
3uDXZZLBAwd,Deep Reinforcement Learning based Insight Selection Policy,"['recommender', 'insight', 'reinforcement learning', 'behavior change support system', 'health coaching', 'lifestyle simulator', 'Gaussian mixture modeling']","[6, 5, 3]","[4, 4, 3]",1,"[352, 621, 675]",
QN_VgTeOYGl,Data Leakage in Tabular Federated Learning,"['federated learning', 'tabular data', 'data leakage attacks', 'gradient inversion']","[6, 6, 6]","[4, 2, 3]",1,"[259, 197, 274]",
TZG_XsO4x6y,Long-horizon video prediction using a dynamic latent hierarchy,"['long-term video prediction', 'hierarchical generative model', 'spatiotemporal disentaglement', 'event-based model']","[3, 5, 3, 6]","[4, 4, 4, 3]",0,"[381, 429, 471, 369]",Reject
yqe0BZeN_xH,SwinZS3: Zero-Shot Semantic Segmentation with a Swin Transformer,"['zero shot semantic segmentation', 'deep learning', 'transformer']","[5, 3, 5, 6]","[4, 3, 4, 3]",1,"[475, 599, 588, 518]",
HTJE5Krui0g,Softened Symbol Grounding for Neuro-symbolic Systems,"['neuro-symbolic learning', 'symbol grounding problem', 'projection-based sampling']","[3, 5, 5, 3]","[4, 4, 4, 4]",1,"[374, 445, 614, 2028]",
7YfHla7IxBJ,Encoding Recurrence into Transformers,"['Recurrent models', 'Transformers', 'sample efficiency', 'gated mechanism']","[5, 3, 5]","[4, 4, 4]",0,"[367, 402, 509]",Reject
N_g8TT9Cy7f,Generating Intuitive Fairness Specifications for Natural Language Processing,"['Individual Fairness', 'Style Transfer', 'NLP', 'Crowdsourcing', 'Human Evaluation']","[3, 3, 6]","[3, 5, 4]",0,"[226, 218, 1353]",Reject
Xj9V-stmIcO,Proper Scoring Rules for Survival Analysis,"['scoring rules', 'survival analysis', 'time-to-event analysis']","[6, 5, 3, 3]","[3, 3, 5, 3]",0,"[1063, 252, 864, 884]",Reject
BO5_Lm7iD_,Social Network Structure Shapes Innovation: Experience-sharing in RL with SAPIENS,"['collective innovation', 'social network', 'multi-agent model', 'collective dynamics', 'communication topology', 'collective cognition']","[5, 3, 5, 1]","[4, 4, 4, 3]",0,"[348, 465, 211, 386]",Reject
jREF4bkfi_S,Mini-batch $k$-means terminates within $O(d/\epsilon)$ iterations,[],"[10, 8, 6, 5]","[5, 3, 3, 2]",0,"[364, 385, 874, 845]",Accept: poster
Jdj0fZhswJC,Convergence is Not Enough: Average-Case Performance of No-Regret Learning Dynamics,"['q-replicator dynamics', 'potential games', 'average price of anarchy', 'learning']","[6, 8, 8]","[5, 4, 3]",0,"[281, 144, 423]",Accept: notable-top-5%
Rn50hCOX9XX,Gene finding revisited: improved robustness through structured decoding from learning embeddings,"['gene finding', 'graphical model', 'gene prediction', 'gene splicing', 'conditional random fields', 'structured decoding', 'DNA', 'learned embeddings']","[6, 8, 8, 8]","[4, 3, 4, 4]",0,"[480, 504, 382, 532]",Accept: notable-top-25%
pWVASryOyFw,Learning Uncertainty for Unknown Domains with Zero-Target-Assumption,[],"[5, 3, 3]","[4, 4, 4]",1,"[329, 593, 213]",
0OlEBibFa_g,"Detecting Out-of-Distribution Data with Semi-supervised Graph “Feature"" Networks",[],"[5, 6, 6]","[3, 3, 4]",0,"[291, 767, 519]",Reject
1Wo0vqaZ8WJ,Let Offline RL Flow: Training Conservative Agents in the Latent Space of Normalizing Flow,"['Offline Reinforcement Learning', 'Normalizing Flows']","[6, 3, 5, 6]","[5, 4, 4, 2]",0,"[984, 1770, 1152, 461]",Reject
MjikLUwiB3M,Towards a Complete Theory of Neural Networks with Few Neurons,"['theory of neural networks', 'non-convex landscapes', 'critical manifolds', 'gradient flow dynamics']","[10, 6, 5, 6]","[5, 3, 3, 3]",0,"[137, 518, 509, 526]",Accept: poster
UPQualDj1oo,Machine Learning from Explanations,"['model explanations', 'trustworthy machine learning', 'explainable ai', 'interpretable machine learning']","[5, 5, 8]","[2, 3, 4]",0,"[255, 439, 329]",Reject
9D5FH6LFbRu,Functional Risk Minimization,"['learning framework', 'theory', 'meta-learning', 'supervised learning']","[1, 6, 3, 8]","[5, 3, 3, 4]",0,"[373, 419, 236, 775]",Reject
a-bD9-0ycs0,Latent Linear ODEs with Neural Kalman Filtering for Irregular Time Series Forecasting,"['Time Series Forecasting', 'Neural ODE', 'Kalman Filter', 'Koopman Operator', 'Missing Values']","[5, 5, 5]","[3, 5, 3]",1,"[382, 473, 237]",
ULzyv9M1j5,Transformer-based model for symbolic regression via joint supervised learning,[],"[6, 5, 6]","[3, 2, 3]",0,"[135, 318, 742]",Accept: poster
hChYEyebNm1,Gradient-Based Transfer Learning,"['meta-learning', 'gradient-based meta-learning', 'transfer learning', 'representation learning']","[5, 1, 3, 3]","[3, 5, 3, 5]",0,"[557, 286, 266, 490]",Reject
pgJp7rDc_hk,Coreset for Rational Functions,"['Coreset', 'Auto-regression', 'rational functions', 'non-convex optimization']","[6, 6, 5, 5]","[5, 4, 3, 4]",0,"[1009, 469, 256, 674]",Reject
0z_cXcu1N6o,Transformer needs NMDA receptor nonlinearity for long-term memory,"['NMDAR', 'hippocampus', 'transformer', 'memory']","[5, 3, 6, 3]","[5, 4, 2, 3]",0,"[592, 376, 224, 491]",Reject
cZM4iZmxzR7,Simple Spectral Graph Convolution from an Optimization Perspective,"['Graph Convolution', 'Graph Fourier Transformation', 'Unsupervised Learning']","[1, 5, 5, 3]","[4, 4, 4, 4]",0,"[627, 530, 1222, 882]",Reject
gNI4_85Cyve,QAID: Question Answering Inspired Few-shot Intent Detection,"['Intent Detection', 'Question Answering', 'Contrastive Learning', 'Passage Retrieval']","[3, 5, 6]","[3, 3, 4]",0,"[676, 335, 177]",Reject
1FsdIfRngtw,Rethinking the Value of Prompt Learning for Vision-Language Models,"['Prompt Tuning', 'Visual-Language Pre-training']","[6, 6, 3, 5]","[3, 5, 4, 4]",0,"[264, 346, 843, 864]",Reject
pW_jGk1D_Ww,Disentangled Feature Swapping Augmentation for Weakly Supervised Semantic Segmentation,"['Weakly Supervised Semantic Segmentation', 'Data Augmentation', 'Feature Disentanglement']","[8, 6, 6]","[3, 2, 3]",0,"[281, 208, 222]",Accept: poster
tORS9qGBNpT,Distributed Least Square Ranking with Random Features,"['least square ranking', 'distributed learning', 'learning theory', 'random features']","[6, 5, 3, 3]","[3, 3, 3, 3]",0,"[382, 305, 501, 474]",Reject
17RDXeF-skZ,Doing Fast Adaptation Fast: Conditionally Independent Deep Ensembles for Distribution Shifts,"['deep ensemble', 'diverse ensemble', 'shortcut learning', 'spurious correlations', 'conditional mutual information']","[3, 5, 5]","[2, 3, 4]",0,"[2270, 1077, 400]",Reject
ejR4E1jaH9k,Solving stochastic weak Minty variational inequalities without increasing batch size,"['Variational inequalities', 'stochastic first-order methods', 'nonconvex-nonconcave', 'minimax']","[3, 3, 3]","[4, 4, 4]",1,"[490, 478, 366]",
8Ygoj2IeXfW,Diversity Boosted Learning for Domain Generalization with a Large Number of Domains,"['Domain Generalization', 'Spurious Correlation']","[5, 3, 3, 6]","[3, 4, 3, 3]",0,"[279, 561, 555, 1003]",Reject
dNmkN_z72P4,Towards Performance-maximizing Network Pruning via Global Channel Attention,"['Channle Pruning', 'Global Attention', 'Deep Neural Networks', 'Model Compression']","[3, 5, 5, 6]","[3, 2, 3, 4]",0,"[752, 240, 370, 398]",Reject
8XfHh4XSQ0Q,Adaptive Block-wise Learning for Knowledge Distillation,"['Knowledge distillation', 'Local error signals', 'Bilevel optimization']","[6, 5, 6, 6]","[3, 3, 3, 4]",0,"[293, 421, 261, 254]",Accept: poster
r9fX833CsuN,Curriculum-based Co-design of Morphology and Control of Voxel-based Soft Robots,"['Artificial Life', 'Brain-body Co-design', 'Robotics', 'Modular Soft Robots']","[5, 3, 3, 3]","[3, 5, 5, 4]",0,"[205, 461, 979, 600]",Reject
AqX3oSbzyQ1,Object-Centric Learning with Slot Mixture Models,"['object-centric task', 'gaussian mixture model', 'slot attention']","[1, 1, 1, 3]","[4, 4, 5, 4]",1,"[286, 191, 236, 518]",
tPKKXeW33YU,WiNeRT: Towards Neural Ray Tracing for Wireless Channel Modelling and Differentiable Simulations,"['neural rendering', 'wireless', 'ray tracing', 'nerf']","[5, 5, 3, 5]","[4, 4, 5, 4]",0,"[473, 619, 436, 306]",Reject
HGsoe1wmRW5,Pocket-specific 3D Molecule Generation by Fragment-based Autoregressive Diffusion Models,"['3D molecule generation', 'drug design', 'protein binding pocket', 'generative model', 'diffusion model']","[3, 6, 5, 3]","[5, 3, 4, 4]",1,"[675, 402, 466, 654]",
3WYtm7UzsR,Towards scalable and non-IID robust Hierarchical Federated Learning via Label-driven Knowledge Aggregator,"['Federated Learning', 'Knowledge Distillation', 'non-IID']","[6, 3, 8]","[3, 3, 2]",0,"[76, 691, 199]",Reject
o3Q4m8jg4BR,LS-IQ: Implicit Reward Regularization for Inverse Reinforcement Learning,"['Inverse Reinforcement Learning', 'Imitation Learning', 'Reward Regularization', 'Deep Reinforcement Learning']","[6, 5, 6]","[1, 3, 3]",0,"[162, 352, 313]",Reject
X5ZMzRYqUjB,On the Certification of Classifiers for Outperforming Human Annotators,"['Evaluation theory', 'Oracle accuracy', 'Superhuman classifier']","[8, 8, 6, 8]","[4, 4, 3, 4]",0,"[331, 783, 240, 1422]",Accept: poster
oJpVVGXu9i,Share Your Representation Only: Guaranteed Improvement of the Privacy-Utility Tradeoff in Federated Learning,"['Differential Privacy', 'Representation Learning', 'Federated Learning']","[3, 5, 6, 5]","[4, 5, 3, 3]",0,"[223, 466, 516, 844]",Reject
JIptuwnqwn,Quantized Disentangled Representations for Object-Centric Visual Tasks,"['quantised representation', 'disentangled representation', 'object-centric task']","[5, 3, 3]","[3, 4, 3]",1,"[324, 477, 848]",
BDjGGZk9yz,Supervised Random Feature Regression via Projection Pursuit,"['Random Feature', 'multi-kernel', 'projection pursuit', 'semi-parametric regression', 'neural networks']","[5, 3, 3, 3]","[4, 5, 3, 5]",0,"[586, 370, 120, 327]",Reject
loc3CUXeuzH,Graph Spline Networks for Efficient Continuous Simulation of Dynamical Systems,"['Graph', 'Spline Collocation Method', 'Graph Neural Networks', 'Simulation', 'Partial Differential Equations', 'PDEs', 'Physics', 'Scientific Computing']","[6, 5, 8, 3]","[5, 3, 2, 4]",0,"[486, 161, 455, 777]",Reject
kL67fyKb6A,Online black-box adaptation to label-shift in the presence of conditional-shift,"['label-shift', 'online', 'black-box', 'adaptation', 'Bayesian']","[6, 8, 6]","[4, 3, 5]",0,"[368, 684, 372]",Accept: poster
WVZQa2QYJN,RuDar: Weather Radar Dataset for Precipitation Nowcasting with Geographical and Seasonal Variability,"['precipitation nowcasting', 'weather forecasting', 'weather radar', 'benchmark']","[3, 5, 3, 5]","[4, 3, 4, 4]",0,"[347, 176, 450, 717]",Reject
jkMT2AtccX,Learning Representations for Reinforcement Learning with Hierarchical Forward Models,"['Reinforcement learning', 'Representation learning', 'Continuous control']","[8, 6, 6, 6]","[2, 3, 2, 2]",0,"[343, 753, 293, 222]",Accept: poster
F5Cj26wfiu,xTrimoABFold: Improving Antibody Structure Prediction without Multiple Sequence Alignments ,"['Protein structure prediction', 'antibody structure prediction', 'amino acid sequence', 'homologous structure']","[3, 5, 3]","[3, 4, 4]",0,"[331, 800, 500]",Reject
mmFtinp4wQ_,Thresholded Lexicographic Ordered Multi-Objective Reinforcement Learning,"['Reinforcement Learning', 'Lexicographic Ordered Multi-Objectives']","[5, 3, 6, 5]","[2, 3, 3, 3]",1,"[479, 271, 309, 277]",
5WOIluv9Xop,HOW SAMPLING AFFECTS TRAINING: AN EFFECTIVE SAMPLING THEORY STUDY FOR LONG-TAILED IMAGE CLASSIFICATION,[],"[3, 3, 3]","[4, 4, 4]",0,"[425, 672, 233]",Reject
eDLwjKmtYFt,EquiMod: An Equivariance Module to Improve Self-Supervised Learning,"['Representation learning', 'Self-supervised learning', 'Contrastive learning', 'Equivariance']","[3, 5, 5, 5]","[4, 4, 4, 4]",1,"[363, 388, 270, 504]",
cUX2psP06OL,Manipulating Multi-agent Navigation Task via Emergent Communications,[],"[8, 5, 8, 6]","[3, 4, 4, 3]",0,"[435, 774, 414, 440]",Accept: poster
-M0TNnyWFT5,Task-Aware Information Routing from Common Representation Space in Lifelong Learning,"['Continual learning', 'Lifelong learning', 'Representation learning', 'Global workspace theory', 'Task-specific attention']","[8, 6, 8, 5]","[3, 4, 3, 4]",0,"[1085, 602, 613, 607]",Accept: notable-top-25%
htL4UZ344nF,CodeBPE: Investigating Subtokenization Options for Large Language Model Pretraining on Source Code,"['source code processing', 'tokenization', 'byte-pair encoding']","[3, 3, 3]","[4, 5, 4]",1,"[274, 353, 335]",
me09xlTmm8,Transport with Support: Data-Conditional Diffusion Bridges,"['diffusion models', 'optimal transport', 'particle filtering', 'stochastic control', 'sequential Monte Carlo']","[8, 6, 6, 8]","[2, 3, 4, 3]",0,"[256, 1153, 670, 353]",Accept: poster
8foynpwwRb,Randomized Sharpness-Aware Training for Boosting Computational Efficiency in Deep Learning,"['Optimization', 'Sharpness-aware Training', 'Computation Efficiency.']","[3, 3, 1, 3]","[5, 4, 5, 4]",0,"[285, 560, 593, 387]",Reject
GX0uI5T8kd,Self-Supervised Off-Policy Ranking via Crowd Layer,"['off-policy ranking', 'policy representation learning', 'reinforcement learning']","[3, 1, 3]","[3, 3, 4]",0,"[380, 443, 464]",Reject
1BEoYnjZVV,Geometry Problem Solving based on Counterfactual Evolutionary Reasoning,"['Counterfactual Reasoning', 'Geometry Problem Solving', 'Symbolic Reasoning']","[3, 5, 3]","[3, 3, 3]",0,"[233, 406, 593]",Reject
4F1gvduDeL,Few-Shot Domain Adaptation For End-to-End Communication,"['domain adaptation', 'end-to-end communication', 'autoencoders', 'Gaussian mixtures', 'mixture density networks', 'few-shot', 'wireless channel']","[3, 3, 3, 3]","[4, 4, 4, 4]",0,"[2743, 365, 690, 241]",Reject
fyD8adDrXo,HyPHEN: A Hybrid Packing Method and Optimizations for Homomorphic Encryption-Based Neural Network ,"['Private Inference', 'Homomorphic Encryption', 'PPML']","[5, 6, 5]","[4, 3, 4]",0,"[141, 245, 306]",Reject
Y1J29OryQg,Causal Inference for Knowledge Graph Completion,"['Causal Inference', 'Knowledge Graph Completion']","[6, 6, 6, 5]","[4, 3, 5, 4]",0,"[407, 621, 626, 1111]",Reject
ywAjQw-spmY,Formal Specifications from Natural Language,"['language models', 'natural language', 'formal specifications', 'first-order logic', 'temporal logic', 'regular expressions']","[1, 5, 6, 3]","[5, 2, 3, 4]",0,"[860, 312, 323, 210]",Reject
CcXTudu9bvu,DELTA: Diverse Client Sampling for Fasting Federated Learning,"['federated learning', 'client sampling']","[6, 3, 3, 3]","[3, 4, 5, 3]",0,"[231, 639, 211, 558]",Reject
rwetAifrs16,Incremental Predictive Coding: A Parallel and Fully Automatic Learning Algorithm,"['Cognitive Science', 'deep learning', 'predictive coding']","[3, 3, 3, 1]","[3, 5, 4, 5]",0,"[404, 470, 563, 557]",Reject
HqVp0rNC8jn,Learning Geometric Representations of Interactive Objects,"['Representation Learning', 'Interaction', 'Equivariance']","[5, 3, 5, 3]","[4, 5, 2, 4]",1,"[226, 289, 512, 795]",
7bcrAxy00Jw,Improve distance metric learning by learning positions of class centers,"['distance metric learning', 'skewed mean function']","[8, 3, 8]","[4, 4, 3]",0,"[246, 718, 638]",Accept: poster
m3DmIL7wHDW,The guide and the explorer: smart agents for resource-limited iterated batch reinforcement learning,"['Model-based reinforcement learning', 'Dyna', 'exploration', 'planning', 'offline', 'growing batch', 'iterated batch']","[6, 3, 8, 5]","[4, 3, 4, 3]",1,"[114, 253, 178, 605]",
x-mXzBgCX3a,FairGBM: Gradient Boosting with Fairness Constraints,"['fairness', 'gradient boosting', 'constrained optimization', 'tabular data']","[1, 1, 1]","[4, 5, 5]",0,"[221, 475, 227]",Reject
-UsbRlXzMG,How (Un)Fair is Text Summarization?,"['Natural language processing', 'Summarization', 'Fairness']","[8, 6, 6]","[2, 4, 5]",0,"[396, 431, 1581]",Accept: poster
Wac06sAkHk,Simulating Task-Free Continual Learning Streams From Existing Datasets,['Task-Free Continual Learning'],"[5, 3, 8, 8]","[4, 4, 3, 5]",0,"[367, 149, 341, 311]",Accept: poster
18XzeuYZh_,Online Bias Correction for Task-Free Continual Learning,['Task-Free Continual Learning'],"[3, 5, 6, 5]","[5, 5, 5, 4]",1,"[496, 178, 641, 422]",
j8s-BRxXST,A Simple Contrastive Learning Objective for Alleviating Neural Text Degeneration,"['language model', 'contrastive learning', 'repetition', 'degeneration']","[6, 6, 6, 6]","[3, 3, 2, 3]",0,"[343, 421, 122, 259]",Reject
L6CKiPH3hI,Enriching Online Knowledge Distillation with Specialist Ensemble,"['Online knowledge distillation', 'Label prior shift', 'Ensemble learning']","[5, 3, 6, 5]","[4, 5, 4, 4]",1,"[995, 712, 199, 614]",
lKXcMB9tOFD,Improved Gradient Descent Optimization Algorithm based on Inverse Model-Parameter Difference,"['Deep learning', 'Neural Networks', 'Optimization algorithm', 'Adaptive learning-rate', 'Stochastic Gradient Descent']","[8, 5, 5, 5]","[4, 3, 4, 4]",0,"[246, 314, 335, 328]",Reject
47DzlkyH3dM,Variational Learning ISTA,"['compressed sensing', 'LISTA', 'variational models', 'inverse problems']","[6, 6, 3, 6]","[4, 4, 4, 4]",0,"[720, 338, 634, 505]",Reject
mN43JdXmYMs,Moment Distributionally Robust Probabilistic Supervised Learning,"['probabilistic supervised learning', 'distributionally robust optimization', 'proper scoring rules']","[6, 1, 1, 1]","[4, 4, 4, 4]",1,"[448, 337, 723, 955]",
r3-aLHxn2nB,CLEP: Exploiting Edge Partitioning for Graph Contrastive Learning,['Graph Contrastive Learning'],"[3, 1, 3]","[3, 3, 4]",0,"[430, 478, 536]",Reject
dpuAkczrTOt,Meta-Learning the Inductive Biases of Simple Neural Circuits,"['Inductive Bias', 'Generalisation', 'Meta-Learning', 'Spiking Neural Network', 'Neuroscience']","[8, 6, 8]","[3, 4, 3]",0,"[848, 325, 330]",Accept: notable-top-25%
70-hEqC4Wo8,Accelerating spiking neural network training using the $d$-block model,"['spiking neural networks', 'accelerated training', 'stochastic refractory period', 'stochastic recurrent conductance latency']","[5, 5, 6]","[5, 5, 4]",0,"[285, 841, 376]",Reject
-hMNEMgT8Wd,RG: OUT-OF-DISTRIBUTION DETECTION WITH REACTIVATE GRADNORM,"['OOD detection', 'Uncertainty Learning']","[5, 6, 3]","[3, 4, 3]",0,"[637, 572, 370]",Reject
TN9gQ4x0Ep3,Don’t fear the unlabelled: safe semi-supervised learning via debiasing,"['Semi-supervised learning', 'deep learning', 'empirical risk minimisation', 'control variate', 'variance reduction', 'asymptotic statistics']","[5, 3, 3, 5]","[4, 4, 3, 4]",0,"[443, 488, 372, 441]",Reject
05ff9BRSMzE,Gandalf : Data Augmentation is all you need for Extreme Classification,"['Extreme Classification', 'Data Augmentation', 'Search and Recommendation']","[3, 5, 6, 6]","[4, 3, 4, 3]",0,"[351, 681, 463, 202]",Reject
688hNNMigVX,Learning a Data-Driven Policy Network for Pre-Training Automated Feature Engineering,"['Automated Feature Engineering', 'Reinforcement Learning', 'Tabular Data', 'Data-Driven', 'Pre-Training']","[5, 6, 5, 3]","[3, 2, 3, 4]",0,"[314, 210, 888, 162]",Reject
pcBJT4bgbpH,Attention Flows for General Transformers,"['transformer', 'explanations', 'attention flow', 'shapley value']","[1, 3, 5, 6]","[3, 4, 2, 3]",1,"[479, 512, 181, 343]",
bjPPypbLre,Making Substitute Models More Bayesian Can Enhance Transferability of Adversarial Examples,"['Adversarial Examples', 'Black-box Attacks', 'Adversarial Transferability']","[5, 3, 3, 3]","[3, 3, 4, 4]",1,"[262, 592, 556, 486]",
75O7S_L4oY,Learning Group Importance using the Differentiable Hypergeometric Distribution,"['hypergeometric distribution', 'weakly-supervised learning', 'reparameterization trick', 'group importance', 'variational clustering', 'gumbel softmax']","[8, 6, 5, 3]","[2, 3, 3, 3]",0,"[728, 613, 408, 390]",Reject
WP0zFLrO01,Convergence Rate of Primal-Dual Approach to Constrained Reinforcement Learning with Softmax Policy,"['Constrained Reinforcement Learning', 'Constrained Markov Decision Process']","[1, 3, 3]","[5, 4, 5]",0,"[115, 164, 686]",Reject
pvgEL1yS3Ql,Cross-Layer Retrospective Retrieving via Layer Attention,"['Layer Attention', 'Recurrent Layer Attention', 'Layer Interaction', 'CNNs', 'Vision Transformers', 'Vision Networks']","[3, 3, 5, 6]","[3, 3, 3, 2]",0,"[261, 783, 538, 221]",Reject
kqHkCVS7wbj,Decision S4: Efficient Sequence-Based RL via State Spaces Layers,"['Sequential RL', 'S4', 'Decision transformers']","[6, 8, 6, 5]","[3, 4, 4, 5]",0,"[287, 680, 660, 465]",Accept: poster
gvOSQjGTtxj,Deep autoregressive density nets vs neural ensembles for model-based offline reinforcement learning,"['Offline reinforcement learning', 'batch reinforcement learning', 'ensemble', 'autoregressive', 'D4RL', 'model-based']","[3, 8, 6, 3]","[3, 2, 3, 4]",1,"[305, 167, 540, 178]",
mnVf1W6ipGm,Unveiling the sampling density in non-uniform geometric graphs,"['graph neural network', 'graph representation learning', 'spectral method', 'non-uniform sampling', 'geometric graph', 'graphon']","[5, 5, 3, 3]","[4, 4, 5, 3]",1,"[1167, 491, 185, 379]",
LNpMtk15AS4,Boosting Causal Discovery via Adaptive Sample Reweighting,"['Causal Structure Learning', 'Score-based Causal Discovery', 'Adaptive Sample Reweighting']","[3, 3, 5, 5]","[3, 3, 4, 4]",0,"[680, 588, 894, 486]",Reject
BdcfKgE9dhF,Robust Training through Adversarially Selected Data Subsets,"['Subset selection', 'Robust learning']","[3, 5, 3, 3]","[3, 4, 3, 3]",0,"[656, 325, 170, 437]",Reject
i8AnfJYMvz,Beyond Reward: Offline Preference-guided Policy Optimization,"['offline reinforcement learning', 'preference-based reinforcement learning', 'hindsight information matching', 'preference-guided policy optimization']","[6, 8, 6, 6]","[4, 4, 4, 3]",0,"[231, 515, 797, 458]",Accept: poster
SEcSahl0Ql,Iterative Circuit Repair Against Formal Specifications,"['sequential circuits', 'repair', 'synthesis', 'transformer']","[3, 5, 3, 5]","[4, 4, 4, 4]",0,"[360, 461, 137, 461]",Reject
dyifcA9UuRo,Neural Probabilistic Logic Programming in Discrete-Continuous Domains,"['neural-symbolic AI', 'logic', 'probability', 'neural networks', 'probabilistic logic programming', 'neuro-symbolic integration', 'learning and reasoning']","[3, 6, 6, 3]","[3, 4, 3, 4]",0,"[527, 267, 286, 281]",Reject
UazgYBMS9-W,Can BERT Refrain from Forgetting on Sequential Tasks? A Probing Study,"['Natural Language Processing', 'Probing Study']","[3, 3, 6, 8]","[3, 5, 3, 5]",1,"[806, 224, 288, 463]",
3c13LptpIph,Behavior Proximal Policy Optimization ,"['Offline Reinforcement Learning', 'Monotonic Policy Improvement']","[3, 1, 3, 1]","[4, 2, 4, 5]",0,"[395, 273, 191, 789]",Reject
eZN8nUXAVO7,FedGC: An Accurate and Efficient Federated Learning under Gradient Constraint for Heterogeneous Data,"['Federated Learning', 'Non-IID data']","[6, 6, 6]","[4, 4, 3]",0,"[542, 171, 705]",Reject
xfqDe72zh41,Actionable Neural Representations: Grid Cells from Minimal Constraints,"['Grid Cells', 'Representation Theory', 'Theoretical Neuroscience', 'Normative Models']","[3, 5, 5, 3]","[2, 3, 3, 3]",0,"[316, 254, 449, 493]",Reject
ueEMZjY9WiM,Compression-aware Training of Neural Networks using Frank-Wolfe,"['compression aware', 'neural network', 'frank-wolfe', 'pruning']","[3, 3, 3, 5, 8]","[2, 4, 5, 4, 5]",0,"[194, 672, 283, 282, 344]",Reject
l6CpxixmUg,Modeling content creator incentives on algorithm-curated platforms,"['Nash equilibria', 'producer incentives', 'attention monetizing platforms', 'recommenders', 'differentiable games', 'exposure game']","[6, 6, 5, 8]","[4, 4, 4, 3]",0,"[767, 480, 460, 182]",Reject
ashgrQnYsm,MBrain: A Multi-channel Self-Supervised Learning Framework for Brain Signals,"['brain signals', 'self-supervised learning', 'multi-channel time series', 'seizure detection']","[5, 3, 5]","[4, 2, 2]",1,"[418, 159, 206]",
d5U-bPKPde,Group-Disentangling Conditional Shift,"['group disentanglement', 'variational autoencoders', 'conditional shift']","[1, 1, 1]","[5, 5, 5]",1,"[137, 214, 149]",
oL2uVCVlyf,When and Why Is Pretraining Object-Centric Representations Good for Reinforcement Learning?,"['object-centric representation', 'reinforcement learning']","[3, 5, 6, 3, 3]","[4, 4, 4, 4, 3]",0,"[303, 330, 171, 289, 182]",Reject
j1HyTEWHTT,Face reconstruction from facial templates by learning latent space of a generator network,[],"[3, 5, 5, 3]","[3, 3, 3, 5]",0,"[413, 587, 362, 353]",Reject
